id,name,team_id,team_name,position,price,ownership,status,chance,minutes,total_points,form,ppg,ep_next,ep_this,goals,assists,clean_sheets,bonus,bps,ict,creativity,threat,influence,starts,news,fixture_next3,fixture_next6,expected_minutes,expected_gw_points,value,captain_score,differential_score,transfer_score,recommendation
391,Gvardiol,15,Man City,DEF,5.5,12.0,a,100.0,1370.0,79.0,0.0,4.4,2.5,0.0,2.0,2.0,6.0,5.0,303.0,69.8,109.5,218.0,369.0,16.0,,0.5833333333333334,0.5,67.7,2.401,0.4365454545454545,34.28886111111111,15.296724787878787,3.1079528068181816,BUY
390,Rúben,15,Man City,DEF,5.5,1.6,a,100.0,2139.0,113.0,0.0,4.3,2.5,0.0,2.0,0.0,12.0,4.0,453.0,81.0,152.2,96.0,560.8,24.0,,0.5833333333333334,0.5,69.0,2.401,0.4365454545454545,33.183749999999996,16.18060686868687,3.2082563257575756,BUY
46,Barkley,2,Aston Villa,MID,5.0,0.2,a,100.0,844.0,56.0,0.0,2.7,1.5,0.0,3.0,2.0,1.0,5.0,221.0,58.1,162.3,191.0,227.8,7.0,,0.5,0.5,69.0,2.179,0.43579999999999997,32.44833333333333,14.97671288888889,2.971000233333333,WATCH
204,Mitchell,8,Crystal Palace,DEF,4.5,6.7,a,100.0,3253.0,135.0,0.0,3.6,1.7,0.0,1.0,3.0,12.0,8.0,498.0,136.0,467.3,241.0,649.0,36.0,,0.4166666666666667,0.5,69.0,1.958,0.4351111111111111,30.102916666666665,13.181925925925926,2.675731777777778,WATCH
417,Dalot,16,Man Utd,DEF,5.0,3.0,a,100.0,2609.0,111.0,0.0,3.3,2.2,0.0,1.0,6.0,7.0,9.0,414.0,119.6,458.5,202.0,535.8,29.0,,0.6666666666666666,0.5416666666666666,69.0,2.159,0.43179999999999996,32.555625,14.640037333333332,3.0610073999999994,BUY
229,Tarkowski,9,Everton,DEF,6.0,9.5,a,100.0,3330.0,170.0,0.0,4.6,2.8,0.0,2.0,3.0,11.0,12.0,592.0,165.7,235.6,422.0,995.6,37.0,,0.4166666666666667,0.5416666666666666,70.1,2.581,0.43016666666666664,36.393819444444446,16.722638592592592,3.2147624875000003,BUY
529,Roefs,20,Sunderland,GK,5.0,4.8,a,100.0,3150.0,136.0,0.0,3.9,2.6,0.0,0.0,0.0,10.0,12.0,573.0,93.1,50.0,0.0,881.6,35.0,,0.6666666666666666,0.5,69.6,2.15,0.43,26.7425,14.490226666666665,3.032546,BUY
124,Groß,5,Brighton,MID,5.5,12.1,a,100.0,1636.0,78.0,0.0,4.1,2.0,0.0,1.0,6.0,6.0,10.0,389.0,128.5,668.2,220.0,397.2,18.0,,0.5,0.5,69.0,2.364,0.4298181818181818,34.29833333333333,15.157021414141417,3.0333855303030304,WATCH
356,Virgil,14,Liverpool,DEF,6.5,17.9,a,100.0,3420.0,175.0,0.0,4.6,3.1,0.0,6.0,1.0,10.0,10.0,593.0,187.6,215.9,490.0,1169.4,38.0,,0.5833333333333334,0.5416666666666666,70.9,2.79,0.42923076923076925,38.77243055555555,17.388753618233615,3.461927365384616,BUY
202,Richards,8,Crystal Palace,DEF,5.0,0.8,a,100.0,2825.0,128.0,0.0,3.9,2.2,0.0,1.0,0.0,11.0,5.0,453.0,107.6,159.6,185.0,727.2,31.0,,0.4166666666666667,0.5,69.0,2.142,0.4284,31.942916666666665,14.699907555555555,2.869274533333333,WATCH
269,Sessegnon,10,Fulham,DEF,4.5,0.4,a,100.0,1816.0,95.0,0.0,3.5,1.7,0.0,3.0,3.0,6.0,8.0,332.0,86.7,225.0,229.0,413.8,20.0,,0.4166666666666667,0.4166666666666667,69.0,1.925,0.4277777777777778,29.700000000000003,13.45014814814815,2.6557881944444444,WATCH
445,Thiaw,17,Newcastle,DEF,5.0,1.9,a,100.0,2963.0,126.0,0.0,3.6,2.2,0.0,4.0,0.0,5.0,12.0,436.0,138.9,114.3,409.0,868.0,33.0,,0.4166666666666667,0.5416666666666666,68.9,2.127,0.42539999999999994,31.398752777777776,14.515837348148144,2.8592931033333335,WATCH
335,Stach,13,Leeds,MID,6.0,1.1,a,100.0,2369.0,137.0,0.0,4.7,2.1,0.0,5.0,6.0,7.0,14.0,550.0,188.8,921.4,315.0,650.0,28.0,,0.5,0.4583333333333333,66.9,2.547,0.42450000000000004,36.04520833333333,16.881382444444444,3.2117595458333335,BUY
32,Cash,2,Aston Villa,DEF,4.5,8.6,a,100.0,3016.0,117.0,0.0,3.3,1.7,0.0,3.0,3.0,8.0,7.0,450.0,137.5,510.7,221.0,643.0,34.0,,0.5,0.5,68.5,1.908,0.424,29.72722222222222,12.69237037037037,2.658341,WATCH
492,Awoniyi,18,Nott'm Forest,FWD,5.5,0.5,a,100.0,480.0,43.0,0.0,2.5,1.8,0.0,4.0,2.0,1.0,4.0,170.0,48.4,79.0,235.0,177.2,3.0,,0.5,0.5,69.0,2.327,0.4230909090909091,33.07633333333333,15.80321373737374,3.0815189015151514,WATCH
346,Calvert-Lewin,13,Leeds,FWD,6.0,27.2,a,100.0,2721.0,142.0,0.0,4.1,2.0,0.0,14.0,2.0,8.0,20.0,472.0,194.7,311.1,1026.0,619.6,30.0,,0.5,0.4583333333333333,69.0,2.537,0.42283333333333334,35.99187499999999,15.718124444444443,3.113622958333333,WATCH
544,Xhaka,20,Sunderland,MID,5.5,4.7,a,100.0,2901.0,124.0,0.0,3.6,2.0,0.0,1.0,6.0,9.0,8.0,603.0,138.1,595.3,101.0,685.0,32.0,,0.6666666666666666,0.5,69.0,2.324,0.4225454545454545,32.69916666666666,15.467211313131314,3.163431742424242,BUY
469,N.Williams,18,Nott'm Forest,DEF,5.0,11.2,a,100.0,3203.0,128.0,0.0,3.5,2.2,0.0,2.0,3.0,9.0,15.0,531.0,175.6,572.3,380.0,804.0,36.0,,0.5,0.5,68.6,2.111,0.4222,31.759444444444448,13.693291437037038,2.8108484733333334,WATCH
465,Osula,17,Newcastle,FWD,6.0,1.1,a,100.0,805.0,76.0,0.0,3.2,2.0,0.0,7.0,1.0,2.0,13.0,284.0,62.2,82.6,284.0,256.6,8.0,,0.4166666666666667,0.5416666666666666,69.0,2.529,0.4215,35.040575,16.94544888888889,3.204644458333333,BUY
332,Justin,13,Leeds,DEF,4.5,0.6,a,100.0,1893.0,94.0,0.0,3.2,1.7,0.0,2.0,1.0,6.0,9.0,338.0,88.3,190.9,220.0,469.8,21.0,,0.5,0.4583333333333333,69.0,1.896,0.42133333333333334,29.581875000000004,13.252444444444446,2.6968438333333333,WATCH
1,Raya,1,Arsenal,GK,6.0,34.1,a,100.0,3330.0,162.0,0.0,4.4,4.0,0.0,0.0,0.0,19.0,11.0,633.0,57.5,33.5,0.0,541.6,37.0,,0.4166666666666667,0.5,73.2,2.527,0.4211666666666667,29.98825,15.97850177777778,3.1327123666666674,BUY
84,Collins,4,Brentford,DEF,5.5,2.0,a,100.0,2971.0,129.0,0.0,3.7,2.5,0.0,1.0,2.0,9.0,7.0,450.0,131.9,143.8,325.0,848.6,32.0,,0.5833333333333334,0.4583333333333333,69.4,2.312,0.42036363636363633,33.81178055555555,15.627116390572391,3.104204409090909,BUY
384,Donnarumma,15,Man City,GK,5.5,9.8,a,100.0,3060.0,135.0,0.0,4.0,3.3,0.0,0.0,0.0,15.0,5.0,567.0,68.0,10.3,2.0,666.6,34.0,,0.5833333333333334,0.5,71.4,2.311,0.42018181818181816,27.840683333333335,15.177460686868685,3.0946771287878785,BUY
