id,name,team_name,team_id,position,price,ownership,expected_minutes,expected_gw_points,value,fixture_next3,next5_avg_difficulty,xgi_proxy,transfer_score,captain_score,differential_score,recommendation
350,A.Becker,Liverpool,14,GKP,5.5,3.9,90.0,3.419,0.6216,0.583,2.6,0.05,5.73,3.539,14.073,WATCH
351,Mamardashvili,Liverpool,14,GKP,5.0,0.2,90.0,2.694,0.5388,0.583,2.6,0.05,5.453,2.789,13.195,AVOID
467,Sels,Nott'm Forest,18,GKP,5.0,1.6,90.0,2.6,0.52,0.5,3.0,0.05,5.08,2.613,12.373,AVOID
384,Donnarumma,Man City,15,GKP,5.5,9.8,90.0,3.359,0.6107,0.583,2.8,0.05,5.075,3.477,12.325,AVOID
392,Aït-Nouri,Man City,15,DEF,5.5,1.0,90.0,2.545,0.4627,0.583,2.8,0.254,5.063,2.688,12.304,AVOID
419,Martinez,Man Utd,16,DEF,5.0,0.7,90.0,2.24,0.448,0.667,2.8,0.075,5.006,2.392,11.867,AVOID
390,Rúben,Man City,15,DEF,5.5,1.6,90.0,2.545,0.4627,0.583,2.8,0.122,5.003,2.653,12.144,AVOID
442,Pope,Newcastle,17,GKP,5.0,1.3,90.0,2.6,0.52,0.417,3.0,0.05,4.985,2.535,12.287,AVOID
393,Khusanov,Man City,15,DEF,5.5,1.8,90.0,2.545,0.4627,0.583,2.8,0.186,4.983,2.67,12.09,AVOID
529,Roefs,Sunderland,20,GKP,5.0,4.8,90.0,2.553,0.5106,0.667,3.2,0.05,4.956,2.72,11.712,AVOID
501,Danso,Spurs,19,DEF,5.0,0.2,90.0,2.24,0.448,0.583,2.8,0.09,4.931,2.328,11.833,AVOID
84,Collins,Brentford,4,DEF,5.5,2.0,90.0,2.5,0.4545,0.583,3.0,0.395,4.914,2.677,11.906,AVOID
140,Sánchez,Chelsea,6,GKP,5.0,2.2,90.0,2.6,0.52,0.417,3.0,0.05,4.895,2.535,12.047,AVOID
357,Frimpong,Liverpool,14,DEF,5.5,3.2,90.0,2.59,0.4709,0.583,2.6,0.205,4.892,2.722,11.848,AVOID
226,Pickford,Everton,9,GKP,5.5,8.5,90.0,3.3,0.6,0.417,3.0,0.05,4.89,3.217,12.167,AVOID
472,Murillo,Nott'm Forest,18,DEF,5.5,1.2,90.0,2.5,0.4545,0.5,3.0,0.12,4.869,2.53,11.953,AVOID
420,Yoro,Man Utd,16,DEF,5.0,0.8,85.0,2.115,0.423,0.667,2.8,0.193,4.852,2.241,11.465,AVOID
327,Bijol,Leeds,13,DEF,5.0,0.3,90.0,2.24,0.448,0.5,2.8,0.165,4.796,2.277,11.64,AVOID
198,Henderson,Crystal Palace,8,GKP,5.0,3.2,90.0,2.6,0.52,0.417,3.0,0.05,4.795,2.535,11.78,AVOID
417,Dalot,Man Utd,16,DEF,5.0,3.0,90.0,2.24,0.448,0.667,2.8,0.45,4.776,2.481,11.253,AVOID
82,Kelleher,Brentford,4,GKP,5.0,5.9,90.0,2.6,0.52,0.583,3.0,0.05,4.775,2.691,11.393,AVOID
358,Kerkez,Liverpool,14,DEF,5.5,4.4,90.0,2.59,0.4709,0.583,2.6,0.219,4.772,2.726,11.528,AVOID
470,Morato,Nott'm Forest,18,DEF,5.0,0.1,90.0,2.2,0.44,0.5,3.0,0.147,4.77,2.232,11.573,AVOID
