id,name,team_id,team_name,position,price,ownership,status,chance,minutes,total_points,form,ppg,ep_next,ep_this,goals,assists,clean_sheets,bonus,bps,ict,creativity,threat,influence,starts,news,fixture_next3,fixture_next6,expected_minutes,expected_gw_points,value,captain_score,differential_score,transfer_score,recommendation
498,Senesi,19,Spurs,DEF,6.0,9.6,a,100.0,3288.0,175.0,0.0,4.7,2.8,0.0,0.0,6.0,11.0,14.0,571.0,168.6,367.8,201.0,1114.4,37.0,,0.5833333333333334,0.5,69.7,2.695,0.44916666666666666,37.75930555555556,17.391160370370372,3.4248948125,BUY
527,Richarlison,19,Spurs,FWD,6.0,2.5,a,100.0,1954.0,119.0,0.0,3.7,2.0,0.0,11.0,4.0,7.0,17.0,505.0,165.2,239.6,815.0,602.6,20.0,,0.5833333333333334,0.5,69.0,2.655,0.44249999999999995,37.34374999999999,17.620311111111114,3.4236360416666662,BUY
398,Foden,15,Man City,MID,7.0,4.9,a,100.0,2078.0,131.0,0.0,4.0,2.5,0.0,7.0,5.0,11.0,13.0,563.0,201.9,918.8,520.0,583.2,23.0,,0.5833333333333334,0.5,69.4,2.729,0.38985714285714285,38.092638888888885,17.814487407407405,3.4221019857142863,BUY
452,Bruno G.,1,Arsenal,MID,7.0,9.0,a,100.0,2456.0,154.0,0.0,5.3,2.5,0.0,9.0,7.0,6.0,22.0,681.0,202.9,756.7,488.0,782.4,27.0,,0.4166666666666667,0.5,69.4,2.874,0.4105714285714286,39.27180555555556,18.39794666666667,3.4197740571428574,BUY
481,Anderson,15,Man City,MID,6.5,9.6,a,100.0,3332.0,180.0,0.0,4.7,2.3,0.0,4.0,5.0,10.0,16.0,795.0,219.0,961.5,310.0,915.2,37.0,,0.5833333333333334,0.5,69.0,2.707,0.41646153846153844,37.863749999999996,17.343103589743592,3.388094788461538,BUY
95,O.Dango,4,Brentford,MID,6.5,1.4,a,100.0,2271.0,136.0,0.0,4.2,2.3,0.0,7.0,8.0,6.0,16.0,429.0,162.8,422.8,702.0,509.8,25.0,,0.5833333333333334,0.4583333333333333,69.0,2.656,0.40861538461538466,37.31729166666667,17.647871452991456,3.382152217948718,BUY
55,Watkins,2,Aston Villa,FWD,8.0,12.4,a,100.0,2833.0,167.0,0.0,4.5,2.5,0.0,16.0,4.0,9.0,26.0,623.0,225.2,330.9,1206.0,720.2,33.0,,0.5,0.5,67.8,2.814,0.35175,38.77166666666667,17.54099822222222,3.311061979166667,BUY
368,Szoboszlai,14,Liverpool,MID,7.0,41.2,a,100.0,3232.0,160.0,0.0,4.4,2.5,0.0,6.0,7.0,9.0,21.0,780.0,260.9,1324.6,417.0,867.8,36.0,,0.5833333333333334,0.5416666666666666,69.3,2.685,0.38357142857142856,37.686875,16.543435714285717,3.294061178571429,BUY
165,João Pedro,6,Chelsea,FWD,7.5,59.8,a,100.0,2658.0,177.0,0.0,5.1,2.3,0.0,15.0,9.0,10.0,30.0,715.0,212.1,456.6,909.0,758.4,31.0,,0.4166666666666667,0.5,67.4,2.876,0.3834666666666667,39.24736111111111,17.506190696296297,3.2891615733333333,BUY
236,Dewsbury-Hall,9,Everton,MID,6.5,3.5,a,100.0,2629.0,151.0,0.0,4.9,2.3,0.0,8.0,7.0,8.0,18.0,598.0,166.0,601.1,438.0,619.4,30.0,,0.4166666666666667,0.5416666666666666,68.1,2.658,0.4089230769230769,37.119375,17.424336683760682,3.266972783333333,BUY
532,Ballard,20,Sunderland,DEF,5.0,4.7,a,100.0,2144.0,116.0,0.0,4.0,2.2,0.0,2.0,2.0,6.0,9.0,340.0,121.5,181.2,370.0,662.8,24.0,,0.6666666666666666,0.5,68.7,2.386,0.4772,34.7825,15.908275911111112,3.2669159633333336,BUY
542,E.Le Fée,20,Sunderland,MID,6.0,11.9,a,100.0,2930.0,147.0,0.0,4.1,2.1,0.0,5.0,6.0,10.0,16.0,621.0,186.9,816.4,324.0,725.8,33.0,,0.6666666666666666,0.5,68.5,2.519,0.41983333333333334,36.10805555555555,16.02811222222222,3.2635973125000004,BUY
13,Rice,1,Arsenal,MID,7.5,20.0,a,100.0,3093.0,184.0,0.0,5.1,2.6,0.0,4.0,9.0,18.0,23.0,790.0,215.4,1027.4,298.0,827.2,35.0,,0.4166666666666667,0.5,69.0,2.814,0.37520000000000003,38.66291666666667,17.264202666666666,3.2576031,BUY
533,Mukiele,20,Sunderland,DEF,5.5,2.8,d,75.0,2784.0,151.0,0.0,4.7,1.9,0.0,3.0,5.0,9.0,11.0,489.0,132.9,353.1,242.0,733.6,32.0,Knock - 75% chance of playing,0.6666666666666666,0.5,67.8,2.422,0.4403636363636364,35.1225,16.125208404040407,3.2572825303030304,BUY
238,Grealish,15,Man City,MID,6.5,0.1,a,100.0,1627.0,79.0,0.0,4.0,2.3,0.0,2.0,6.0,7.0,12.0,356.0,129.2,520.5,397.0,374.2,18.0,,0.5833333333333334,0.5,69.0,2.495,0.38384615384615384,35.74375,16.75235213675214,3.24512657051282,BUY
260,Wilson,13,Leeds,MID,6.5,7.3,a,100.0,2674.0,168.0,0.0,4.7,2.3,0.0,10.0,9.0,9.0,21.0,637.0,196.9,661.1,601.0,707.2,32.0,,0.5,0.4583333333333333,66.5,2.64,0.4061538461538462,36.96631944444445,16.893737037037038,3.218251217948718,BUY
229,Tarkowski,9,Everton,DEF,6.0,9.5,a,100.0,3330.0,170.0,0.0,4.6,2.8,0.0,2.0,3.0,11.0,12.0,592.0,165.7,235.6,422.0,995.6,37.0,,0.4166666666666667,0.5416666666666666,70.1,2.581,0.43016666666666664,36.393819444444446,16.722638592592592,3.2147624875000003,BUY
335,Stach,13,Leeds,MID,6.0,1.1,a,100.0,2369.0,137.0,0.0,4.7,2.1,0.0,5.0,6.0,7.0,14.0,550.0,188.8,921.4,315.0,650.0,28.0,,0.5,0.4583333333333333,66.9,2.547,0.42450000000000004,36.04520833333333,16.881382444444444,3.2117595458333335,BUY
366,Wirtz,14,Liverpool,MID,7.5,14.7,a,100.0,2374.0,125.0,0.0,3.8,2.6,0.0,5.0,4.0,10.0,17.0,521.0,210.0,908.2,665.0,526.4,27.0,,0.5833333333333334,0.5416666666666666,68.8,2.611,0.34813333333333335,36.935763888888886,16.25215931851852,3.21017818,BUY
390,Rúben,15,Man City,DEF,5.5,1.6,a,100.0,2139.0,113.0,0.0,4.3,2.5,0.0,2.0,0.0,12.0,4.0,453.0,81.0,152.2,96.0,560.8,24.0,,0.5833333333333334,0.5,69.0,2.401,0.4365454545454545,33.183749999999996,16.18060686868687,3.2082563257575756,BUY
371,Gravenberch,14,Liverpool,MID,6.0,1.9,a,100.0,2991.0,144.0,0.0,4.0,2.1,0.0,5.0,5.0,9.0,17.0,671.0,140.1,497.2,220.0,687.0,34.0,,0.5833333333333334,0.5416666666666666,68.2,2.436,0.40599999999999997,35.17243055555556,16.24486162962963,3.2056101000000004,BUY
465,Osula,17,Newcastle,FWD,6.0,1.1,a,100.0,805.0,76.0,0.0,3.2,2.0,0.0,7.0,1.0,2.0,13.0,284.0,62.2,82.6,284.0,256.6,8.0,,0.4166666666666667,0.5416666666666666,69.0,2.529,0.4215,35.040575,16.94544888888889,3.204644458333333,BUY
154,Palmer,6,Chelsea,MID,9.5,10.6,a,100.0,1954.0,114.0,0.0,4.4,3.2,0.0,10.0,2.0,3.0,11.0,430.0,147.7,393.6,547.0,536.6,24.0,,0.4166666666666667,0.5,67.9,2.795,0.2942105263157895,38.44847222222223,17.46976910331384,3.193535177631579,BUY
389,Matheus N.,15,Man City,DEF,6.0,3.2,d,75.0,2861.0,154.0,0.0,4.5,2.1,0.0,1.0,8.0,12.0,16.0,676.0,137.6,545.0,131.0,696.0,32.0,Knock - 75% chance of playing,0.5833333333333334,0.5,68.8,2.433,0.40549999999999997,34.54930555555555,16.17613437037037,3.18801145,BUY
440,Zirkzee,16,Man Utd,FWD,5.5,0.7,a,100.0,607.0,42.0,0.0,1.8,1.8,0.0,2.0,1.0,2.0,6.0,146.0,58.3,177.7,245.0,164.4,5.0,,0.6666666666666666,0.5416666666666666,69.0,2.302,0.41854545454545455,33.985625,15.632526868686872,3.1861050757575757,BUY
544,Xhaka,20,Sunderland,MID,5.5,4.7,a,100.0,2901.0,124.0,0.0,3.6,2.0,0.0,1.0,6.0,9.0,8.0,603.0,138.1,595.3,101.0,685.0,32.0,,0.6666666666666666,0.5,69.0,2.324,0.4225454545454545,32.69916666666666,15.467211313131314,3.163431742424242,BUY
367,Gakpo,14,Liverpool,MID,7.0,3.6,a,100.0,2736.0,131.0,0.0,3.6,2.5,0.0,7.0,5.0,10.0,5.0,449.0,208.4,714.7,831.0,540.4,32.0,,0.5833333333333334,0.5416666666666666,67.6,2.462,0.35171428571428576,35.41909722222223,16.123744126984125,3.148733828571429,BUY
553,Isidor,20,Sunderland,FWD,5.5,1.1,a,100.0,1148.0,74.0,0.0,2.3,1.8,0.0,6.0,1.0,4.0,7.0,266.0,71.5,30.4,444.0,242.0,11.0,,0.6666666666666666,0.5,69.0,2.279,0.4143636363636363,32.283966666666664,15.459174949494948,3.143599356060606,WATCH
401,Marmoush,15,Man City,FWD,7.0,0.8,a,100.0,691.0,56.0,0.0,2.7,2.2,0.0,3.0,3.0,4.0,5.0,182.0,64.4,159.8,284.0,203.2,8.0,,0.5833333333333334,0.5,67.6,2.449,0.3498571428571428,35.25263888888888,16.254415767195766,3.1410505142857135,WATCH
369,Ngumoha,14,Liverpool,MID,6.0,1.2,a,100.0,547.0,43.0,0.0,2.3,2.1,0.0,2.0,1.0,2.0,4.0,188.0,60.1,222.8,203.0,176.0,5.0,,0.5833333333333334,0.5416666666666666,69.0,2.353,0.3921666666666667,34.36020833333333,15.847475555555558,3.1404132916666665,BUY
155,Enzo,6,Chelsea,MID,7.0,5.3,a,100.0,3114.0,157.0,0.0,4.4,2.5,0.0,10.0,5.0,8.0,19.0,700.0,264.6,1063.2,747.0,835.6,35.0,,0.4166666666666667,0.5,69.0,2.569,0.367,36.212916666666665,16.76502222222222,3.1355728333333337,BUY
